"Carrera","Semestre","Transporte","Tipo","Combustible","Tiempo","Frecuencia","Distancia"
"Ing Sistemas","4to Semestre","trufi","Publico","diesel","15","1","3.5"
"Ing Industrial","4to Semestre","auto","Privado","gasolina","30","2","7"
"Ing Sistemas","4to Semestre","auto","Privado","gasolina","17","1","6"
"Ing Comercial","3er Semestre","pie","ninguno","ninguno","4","3","0.5"
"Ing Sistemas","6to Semestre","auto","Privado","gasolina","15","2","5"
"Ing Sistemas","6to Semestre","trufi","Publico","diesel","30","2","7.5"
"Ing Financiera","1er Semestre","auto","Privado","gasolina","15","1","5"
"Administracion de Empresas","6to Semestre","auto","Privado","gasolina","15","1","5"
"Ing Sistemas","6to Semestre","motocicleta","Privado","gasolina","7","2","3"
"Administracion de Empresas","6to Semestre","auto","Privado","gasolina","7","2","3"
"Medicina","6to Semestre","auto","Privado","gasolina","15","1","5"
"Medicina","7mo Semestre","auto","Privado","gasolina","5","3","2"
"Ing Sistemas","4to Semestre","motocicleta","Privado","gasolina","15","1","6.5"
"Ing Sistemas","6to Semestre","auto","Privado","gasolina","15","2","5"
"Medicina","3er Semestre","auto","Privado","gasolina","10","2","3"
"Ing Sistemas","6to Semestre","trufi","Publico","diesel","10","2","2.5"
"Ing Sistemas","6to Semestre","trufi","Publico","diesel","40","2","10"
"Ing Empresarial","6to Semestre","auto","Privado","gasolina","8","2","4"
"Ing Sistemas","7mo Semestre","taxi","Publico","diesel","12","1","3"
"Ing Comercial","6to Semestre","microbus","Publico","gasolina","15","3","3"
"Ing Sistemas","3er Semestre","auto","Privado","gasolina","30","1","6"
"Ing Empresarial","6to Semestre","pie","ninguno","ninguno","15","3","1.5"
"Ing Sistemas","5to Semestre","pie","ninguno","gasolina","5","3","0.5"
"Ing Sistemas","6to Semestre","trufi","Publico","gasolina","35","1","6.5"
"Ing Sistemas","6to Semestre","motocicleta","Privado","gasolina","13","2","5.5"
"Ing Sistemas","4to Semestre","auto","Privado","gasolina","40","2","6"
"Ing Sistemas","4to Semestre","auto","Privado","gasolina","15","1","4"
"Ing Sistemas","6to Semestre","auto","Privado","gasolina","15","1","4"
"Ing Sistemas","2do Semestre","auto","Privado","gasolina","15","2","4"
"Comunicacion Social","4to Semestre","motocicleta","Privado","gasolina","15","2","3"
"Derecho","4to Semestre","trufi","Publico","gasolina","60","2","10"
"Ing Industrial","6to Semestre","auto","Privado","gasolina","50","1","6.5"
"Ing Sistemas","4to Semestre","auto","Privado","gasolina","15","1","2"
"Ing Sistemas","4to Semestre","auto","Privado","gasolina","15","1","1.5"
"Ing Sistemas","6to Semestre","auto","Privado","gasolina","30","1","3.5"
"Psicología","2do Semestre","pie","ninguno","ninguno","7","2","0.5"
"Ing Sistemas","4to Semestre","pie","ninguno","ninguno","5","3","0.5"
"Ing Sistemas","8vo Semestre","microbus","Publico","gasolina","15","3","5.5"
"Diseño Digital Multimedia","2do Semestre","auto","Privado","gasolina","30","1","4.5"
"Ing Sistemas","5to Semestre","pie","ninguno","ninguno","5","3","0.5"
"Ing Empresarial","7mo Semestre","trufi","Publico","gasolina","20","2","2.5"
"Ing Sistemas","6to Semestre","auto","Privado","gasolina","20","2","3.5"
"Ing Sistemas","6to Semestre","auto","Privado","gasolina","30","2","5.5"
"Ing Financiera","4to Semestre","taxi","Publico","gasolina","20","2","4.5"
"Ing Sistemas","10mo Semestre","ninguno","ninguno","ninguno","0","0","0"
"Ing Sistemas","4to Semestre","auto","Privado","gasolina","30","3","4.5"
"Ing Sistemas","4to Semestre","trufi","Publico","gasolina","60","1","10.5"
"Ing Sistemas","4to Semestre","trufi","Publico","diesel","10","2","2.5"
"Ing Sistemas","2do Semestre","microbus","Publico","gasolina","45","1","7"
"Ing Sistemas","2do Semestre","microbus","Publico","gasolina","45","2","7"
"Ing Sistemas","2do Semestre","auto","Privado","gasolina","30","2","5.5"
"Ing Industrial","9no Semestre","trufi","Publico","diesel","20","1","6.5"
"Ing Industrial","8vo Semestre","auto","Privado","gasolina","50","3","5"
"Ing Sistemas","8vo Semestre","auto","Privado","gasolina","15","3","5.5"
"Ing Sistemas","4to Semestre","pie","ninguno","ninguno","5","2","0.5"
"Ing Sistemas","2do Semestre","taxi","Publico","gasolina","50","1","12"
"Ing Sistemas","10mo Semestre","auto","Privado","gasolina","10","2","3"
"Ing Financiera","4to Semestre","trufi","Publico","gasolina","10","3","2.5"
"Comunicacion Social","2do Semestre","trufi","Publico","gasolina","10","3","2.5"
"Ing Industrial","4to Semestre","motocicleta","Privado","gasolina","15","2","6"
"Ing Mecatronica","4to Semestre","trufi","Publico","diesel","20","2","5"
"Medicina","4to Semestre","trufi","Publico","ninguno","15","1","3.5"
"Ing Sistemas","3er Semestre","auto","Privado","gasolina","15","3","5"
"Ing Civil","6to Semestre","auto","Privado","gasolina","15","3","5"
"Ing Financiera","6to Semestre","trufi","Publico","gasolina","20","1","5"
"Administracion de Empresas","8vo Semestre","taxi","Publico","diesel","45","2","7.5"
"Ing Sistemas","6to Semestre","auto","Privado","gasolina","17","2","5"
"Ing Quimica","10mo Semestre","auto","Privado","gasolina","20","1","5"
"Ing Comercial","8vo Semestre","pie","ninguno","ninguno","10","1","1"
"Medicina","4to Semestre","trufi","Publico","gasolina","10","1","2.5"
"Diseño Digital Multimedia","4to Semestre","taxi","Publico","gasolina","18","1","5.5"
"Ing Sistemas","6to Semestre","ninguno","ninguno","ninguno","0","0","0"
"Medicina","4to Semestre","trufi","Publico","gasolina","50","2","11"
"Medicina","4to Semestre","trufi","Publico","gasolina","15","1","4"
"Comunicacion Social","4to Semestre","motocicleta","Privado","gasolina","15","2","6"
"Ing Mecatronica","4to Semestre","taxi","Publico","gasolina","20","2","4"
"Ing Quimica","4to Semestre","motocicleta","Privado","gasolina","20","1","4.5"
"Ing Comercial","2do Semestre","otro","Privado","ninguno","45","1","5.5"
"Ing Sistemas","4to Semestre","microbus","Publico","gasolina","50","2","9"
"Ing Industrial","4to Semestre","trufi","Publico","gasolina","60","2","12"
"Medicina","7mo Semestre","ninguno","ninguno","ninguno","0","0","0"
"Medicina","7mo Semestre","pie","ninguno","ninguno","10","3","1"
"Ing Industrial","4to Semestre","pie","ninguno","ninguno","60","2","5"
"Medicina","7mo Semestre","trufi","Publico","gasolina","10","3","2.5"
"Medicina","7mo Semestre","trufi","Publico","gasolina","10","3","2.5"
"Ing Sistemas","4to Semestre","trufi","Publico","gasolina","60","2","9"
"Ing Sistemas","3er Semestre","trufi","Publico","gasolina","60","3","9"
"Diseño Digital Multimedia","2do Semestre","trufi","Publico","gasolina","30","1","5"
"Medicina","7mo Semestre","taxi","Publico","gasolina","20","3","3.5"
"Ing Comercial","7mo Semestre","microbus","Publico","gasolina","7","2","1"
"Ing Industrial","4to Semestre","auto","Privado","gasolina","10","3","1.5"
"Medicina","4to Semestre","pie","ninguno","ninguno","40","2","2"
"Medicina","4to Semestre","trufi","Publico","gasolina","60","1","9"
"Ing Industrial","6to Semestre","microbus","Publico","gasolina","60","3","7"
"Ing Industrial","6to Semestre","trufi","Publico","diesel","35","1","6"
"Ing Industrial","4to Semestre","trufi","Publico","gasolina","30","2","5.5"
"Medicina","4to Semestre","microbus","Publico","gasolina","45","3","8"
"Ing Industrial","4to Semestre","trufi","Publico","gasolina","60","3","9"
"Ing Empresarial","8vo Semestre","trufi","Publico","diesel","60","2","8.5"
"Ing Sistemas","4to Semestre","microbus","Publico","gasolina","60","1","9"
"Ing Sistemas","4to Semestre","trufi","Publico","gasolina","35","1","5.5"
"Ing Industrial","7mo Semestre","pie","ninguno","ninguno","20","2","4"
"Ing Comercial","4to Semestre","taxi","Publico","gasolina","10","1","3"
"Ing Comercial","4to Semestre","taxi","Publico","gasolina","15","2","4"
"Psicología","4to Semestre","motocicleta","Privado","gasolina","25","3","6"
"Arquitectura","2do Semestre","auto","Privado","gasolina","20","3","6"
"Ing Financiera","4to Semestre","auto","Privado","gasolina","4","3","6"
"Fisioterapia y kinesiología ","4to Semestre","taxi","Publico ","gasolina ","20 ","2 ","6"
"Psicología ","3er Semestre","ninguno","ninguno","ninguno","0","0","0"
"Ingeniería comercial ","4to Semestre","taxi","Publico","gasolina","10","2","3"